"No.","ページ","セクション","テキスト箇所","説明","文字数目安","記入欄"
"1","トップ","TOPヒーロー","ヒーロー キャッチコピー","採用サイトのメインメッセージ。Urumoのミッション・世界観が伝わる力強い一文。会社が何をしていて、何を目指しているかが凝縮された言葉。","10〜26文字",""
"2","トップ","TOPヒーロー","ヒーロー 本文コピー","キャッチコピーを補足するストーリー文。Urumoが解決しようとしている課題や市場背景を語り、求職者の共感を引き出す。","30〜55文字",""
"3","トップ","カルチャー","Culture セクション 見出し","Urumoのカルチャー・大切にしていることを紹介するセクションの見出し。Mission/Vision/Valuesにつながる導入文。","8〜24文字",""
"4","トップ","カルチャー","Culture セクション リード文","カルチャーセクションの補足説明。このセクションで何が分かるかを1〜2文で説明する。","25〜65文字",""
"5","トップ","サービス","提供サービス 見出し","Urumoが提供するサービス・プロダクトを紹介するセクション見出し。事業内容が一言でわかる表現。","8〜24文字",""
"6","トップ","サービス","提供サービス リード文","サービスセクションの補足。プロダクトが何で、誰のためのものか簡潔に説明する。","25〜65文字",""
"7","トップ","公式コンテンツ","記事タイトル（例）","社員インタビューや会社紹介記事のタイトル。実際の記事タイトルが入る。ブログ・note等で公開しているコンテンツのタイトルをそのまま使用。","4〜16文字",""
"8","トップ","記事コンテンツ","記事コンテンツ 見出し","オウンドメディア紹介セクションの大見出し。Note・Wantedly・開発者ブログ等をまとめて紹介するエリアのタイトル。","8〜24文字",""
"9","トップ","記事コンテンツ","記事コンテンツ リード文","記事コンテンツセクションの補足説明。Urumoのリアルを届けるメディア群の趣旨を1〜2文で紹介する。","25〜65文字",""
"10","トップ","記事コンテンツ","Recruiting Blog 説明文","Recruiting Blogの説明文。日常・仕事・カルチャーなどリアルな雰囲気が伝わる一文。","40〜100文字",""
"11","トップ","記事コンテンツ","Wantedly 説明文","Wantedlyストーリーの説明文。若手社員視点のリアルを伝えるコンテンツとして紹介する。","40〜100文字",""
"12","トップ","記事コンテンツ","Developer Blog 説明文","技術ブログの説明文。エンジニア向けにUrumoの技術スタック・取り組みを伝える場として紹介。","40〜100文字",""
